name,flag,description,source,header,cfg,is_analysis
ASanGlobalsMetadataWrapperPass,-asan-globals-md,"Read metadata to mark which globals should be instrumented "" ""when running ASan.",lib/Transforms/Instrumentation/AddressSanitizer.cpp,include/llvm/Transforms/Instrumentation/AddressSanitizer.h,False,True
AVRExpandPseudo,-avr-expand-pseudo,AVR pseudo instruction expansion pass,lib/Target/AVR/AVRExpandPseudoInsts.cpp,,False,False
AVRRelaxMem,-avr-relax-mem,AVR memory operation relaxation pass,lib/Target/AVR/AVRRelaxMemOperations.cpp,,False,False
AddDiscriminatorsPass,-add-discriminators,Add DWARF path discriminators,lib/Transforms/Utils/AddDiscriminators.cpp,include/llvm/Transforms/Utils/AddDiscriminators.h,False,False
AddressSanitizerLegacyPass,-asan,AddressSanitizer: detects use-after-free and out-of-bounds bugs.,lib/Transforms/Instrumentation/AddressSanitizer.cpp,include/llvm/Transforms/Instrumentation/AddressSanitizer.h,False,False
AggressiveDCEPass,-adce,Aggressive Dead Code Elimination,lib/Transforms/Scalar/ADCE.cpp,include/llvm/Transforms/Scalar/ADCE.h,False,False
AggressiveInstCombinerPass,-aggressive-instcombine,Combine pattern based expressions,lib/Transforms/AggressiveInstCombine/AggressiveInstCombine.cpp,include/llvm/Transforms/AggressiveInstCombine/AggressiveInstCombine.h,False,False
AliasSetPrinter,-print-alias-sets,Alias Set Printer,lib/Analysis/AliasSetTracker.cpp,include/llvm/Analysis/AliasSetTracker.h,False,True
AlignmentFromAssumptionsPass,-alignment-from-assumptions,Alignment from assumptions,lib/Transforms/Scalar/AlignmentFromAssumptions.cpp,include/llvm/Transforms/Scalar/AlignmentFromAssumptions.h,False,False
AlwaysInlinerLegacyPass,-always-inline,Inliner for always_inline functions,lib/Transforms/IPO/AlwaysInliner.cpp,include/llvm/Transforms/IPO/AlwaysInliner.h,False,False
ArgumentPromotionPass,-argpromotion,Promote 'by reference' arguments to scalars,lib/Transforms/IPO/ArgumentPromotion.cpp,include/llvm/Transforms/IPO/ArgumentPromotion.h,False,False
AssumptionCacheTracker,-assumption-cache-tracker,Assumption Cache Tracker,lib/Analysis/AssumptionCache.cpp,include/llvm/Analysis/AssumptionCache.h,False,True
AtomicExpand,-atomic-expand,Expand Atomic instructions,lib/CodeGen/AtomicExpandPass.cpp,,False,False
AttributorLegacyPass,-attributor,Deduce and propagate attributes,lib/Transforms/IPO/Attributor.cpp,include/llvm/Transforms/IPO/Attributor.h,False,False
BPFAbstractMemberAccess,-bpf-abstract-member-access,abstracting struct/union member accessees,lib/Target/BPF/BPFAbstractMemberAccess.cpp,,False,False
BPFMIPeephole,-bpf-mi-zext-elim,BPF MachineSSA Peephole Optimization For ZEXT Eliminate,lib/Target/BPF/BPFMIPeephole.cpp,,False,False
BPFMIPeepholeTruncElim,-bpf-mi-trunc-elim,BPF MachineSSA Peephole Optimization For TRUNC Eliminate,lib/Target/BPF/BPFMIPeephole.cpp,,False,False
BPFMIPreEmitChecking,-bpf-mi-pemit-checking,BPF PreEmit Checking,lib/Target/BPF/BPFMIChecking.cpp,,False,False
BPFMIPreEmitPeephole,-bpf-mi-pemit-peephole,BPF PreEmit Peephole Optimization,lib/Target/BPF/BPFMIPeephole.cpp,,False,False
BPFMISimplifyPatchable,-bpf-mi-simplify-patchable,BPF PreEmit SimplifyPatchable,lib/Target/BPF/BPFMISimplifyPatchable.cpp,,False,False
BarrierNoopPass,-barrier,A No-Op Barrier Pass,lib/Transforms/IPO/BarrierNoopPass.cpp,,False,False
BasicAAWrapperPass,-basicaa,Basic Alias Analysis (stateless AA impl),lib/Analysis/BasicAliasAnalysis.cpp,include/llvm/Analysis/BasicAliasAnalysis.h,False,True
BitTrackingDCEPass,-bdce,Bit-Tracking Dead Code Elimination,lib/Transforms/Scalar/BDCE.cpp,include/llvm/Transforms/Scalar/BDCE.h,False,False
BlockExtractorPass,-extract-blocks,Extract basic blocks from module,lib/Transforms/IPO/BlockExtractor.cpp,,False,False
BlockFrequencyInfoWrapperPass,-block-freq,Block Frequency Analysis,lib/Analysis/BlockFrequencyInfo.cpp,include/llvm/Analysis/BlockFrequencyInfo.h,True,True
BoundsCheckingLegacyPass,-bounds-checking,Run-time bounds checking,lib/Transforms/Instrumentation/BoundsChecking.cpp,include/llvm/Transforms/Instrumentation/BoundsChecking.h,False,False
BranchFolderPass,-branch-folder,Control Flow Optimizer,lib/CodeGen/BranchFolding.cpp,,False,False
BranchProbabilityInfoWrapperPass,-branch-prob,Branch Probability Analysis,lib/Analysis/BranchProbabilityInfo.cpp,include/llvm/Analysis/BranchProbabilityInfo.h,False,True
BranchRelaxation,-branch-relaxation,Branch relaxation pass,lib/CodeGen/BranchRelaxation.cpp,,False,False
BreakCriticalEdgesPass,-break-crit-edges,Break critical edges in CFG,lib/Transforms/Utils/BreakCriticalEdges.cpp,include/llvm/Transforms/Utils/BreakCriticalEdges.h,False,False
BreakFalseDeps,-break-false-deps,BreakFalseDeps,lib/CodeGen/BreakFalseDeps.cpp,,False,False
CFGOnlyPrinterLegacyPass,-dot-cfg-only,Print CFG of function to 'dot' file (with no function bodies),lib/Analysis/CFGPrinter.cpp,include/llvm/Analysis/CFGPrinter.h,False,True
CFGOnlyViewerLegacyPass,-view-cfg-only,View CFG of function (with no function bodies),lib/Analysis/CFGPrinter.cpp,include/llvm/Analysis/CFGPrinter.h,False,True
CFGPrinterLegacyPass,-dot-cfg,Print CFG of function to 'dot' file,lib/Analysis/CFGPrinter.cpp,include/llvm/Analysis/CFGPrinter.h,False,True
CFGSimplificationPass,-simplifycfg,Simplify the CFG,lib/Transforms/Scalar/SimplifyCFGPass.cpp,,False,False
CFGViewerLegacyPass,-view-cfg,View CFG of function,lib/Analysis/CFGPrinter.cpp,include/llvm/Analysis/CFGPrinter.h,False,True
CFGuardCheckPass,-CFGuard,CFGuard,lib/Transforms/CFGuard/CFGuard.cpp,,False,False
CFGuardDispatchPass,-CFGuard,CFGuard,lib/Transforms/CFGuard/CFGuard.cpp,,False,False
CFGuardLongjmp,-CFGuardLongjmp,Insert symbols at valid longjmp targets for /guard:cf,lib/CodeGen/CFGuardLongjmp.cpp,,False,False
CFIInstrInserter,-cfi-instr-inserter,Check CFA info and insert CFI instructions if needed,lib/CodeGen/CFIInstrInserter.cpp,,False,False
CFLAndersAAWrapperPass,-cfl-anders-aa,Inclusion-Based CFL Alias Analysis,lib/Analysis/CFLAndersAliasAnalysis.cpp,include/llvm/Analysis/CFLAndersAliasAnalysis.h,False,True
CFLSteensAAWrapperPass,-cfl-steens-aa,Unification-Based CFL Alias Analysis,lib/Analysis/CFLSteensAliasAnalysis.cpp,include/llvm/Analysis/CFLSteensAliasAnalysis.h,False,True
CallGraphDOTPrinter,-dot-callgraph,Print call graph to 'dot' file,lib/Analysis/CallPrinter.cpp,include/llvm/Analysis/CallPrinter.h,False,False
CallGraphPrinterLegacyPass,-print-callgraph,Print a call graph,lib/Analysis/CallGraph.cpp,include/llvm/Analysis/CallGraph.h,True,True
CallGraphViewer,-view-callgraph,View call graph,lib/Analysis/CallPrinter.cpp,include/llvm/Analysis/CallPrinter.h,False,False
CallGraphWrapperPass,-basiccg,CallGraph Construction,lib/Analysis/CallGraph.cpp,include/llvm/Analysis/CallGraph.h,False,True
CallSiteSplittingPass,-callsite-splitting,Call-site splitting,lib/Transforms/Scalar/CallSiteSplitting.cpp,include/llvm/Transforms/Scalar/CallSiteSplitting.h,False,False
CalledValuePropagationPass,-called-value-propagation,Called Value Propagation,lib/Transforms/IPO/CalledValuePropagation.cpp,include/llvm/Transforms/IPO/CalledValuePropagation.h,False,False
CanonicalizeAliasesPass,-canonicalize-aliases,Canonicalize aliases,lib/Transforms/Utils/CanonicalizeAliases.cpp,include/llvm/Transforms/Utils/CanonicalizeAliases.h,False,False
CodeGenPrepare,-codegenprepare,Optimize for code generation,lib/CodeGen/CodeGenPrepare.cpp,,False,False
ConstantHoistingPass,-consthoist,Constant Hoisting,lib/Transforms/Scalar/ConstantHoisting.cpp,include/llvm/Transforms/Scalar/ConstantHoisting.h,False,False
ConstantMergePass,-constmerge,Merge Duplicate Global Constants,lib/Transforms/IPO/ConstantMerge.cpp,include/llvm/Transforms/IPO/ConstantMerge.h,False,False
ConstantPropagationPass,-constprop,Simple constant propagation,lib/Transforms/Scalar/ConstantProp.cpp,,False,False
ControlHeightReductionLegacyPass,-chr,Reduce control height in the hot paths,lib/Transforms/Instrumentation/ControlHeightReduction.cpp,include/llvm/Transforms/Instrumentation/ControlHeightReduction.h,False,False
CoroCleanupLegacyPass,-coro-cleanup,Lower all coroutine related intrinsics,lib/Transforms/Coroutines/CoroCleanup.cpp,,False,False
CoroEarlyLegacyPass,-coro-early,Lower early coroutine intrinsics,lib/Transforms/Coroutines/CoroEarly.cpp,,False,False
CoroElideLegacyPass,-coro-elide,Coroutine frame allocation elision and indirect calls replacement,lib/Transforms/Coroutines/CoroElide.cpp,,False,False
CoroSplitLegacyPass,-coro-split,Split coroutine into a set of functions driving its state machine,lib/Transforms/Coroutines/CoroSplit.cpp,,False,False
CorrelatedValuePropagationPass,-correlated-propagation,Value Propagation,lib/Transforms/Scalar/CorrelatedValuePropagation.cpp,include/llvm/Transforms/Scalar/CorrelatedValuePropagation.h,False,False
CostModelAnalysis,-cost-model,Cost Model Analysis,lib/Analysis/CostModel.cpp,,False,True
CrossDSOCFIPass,-cross-dso-cfi,Cross-DSO CFI,lib/Transforms/IPO/CrossDSOCFI.cpp,include/llvm/Transforms/IPO/CrossDSOCFI.h,False,False
DAH,-deadarghaX0r,Dead Argument Hacking (BUGPOINT USE ONLY; DO NOT USE),lib/Transforms/IPO/DeadArgumentElimination.cpp,include/llvm/Transforms/IPO/DeadArgumentElimination.h,False,False
DataFlowSanitizerPass,-dfsan,DataFlowSanitizer: dynamic data flow analysis.,lib/Transforms/Instrumentation/DataFlowSanitizer.cpp,,False,False
DeadArgEliminationPass,-deadargelim,Dead Argument Elimination,lib/Transforms/IPO/DeadArgumentElimination.cpp,include/llvm/Transforms/IPO/DeadArgumentElimination.h,False,False
DeadCodeEliminationPass,-dce,Dead Code Elimination,lib/Transforms/Scalar/DCE.cpp,include/llvm/Transforms/Scalar/DCE.h,False,False
DeadInstEliminationPass,-die,Dead Instruction Elimination,lib/Transforms/Scalar/DCE.cpp,include/llvm/Transforms/Scalar/DCE.h,False,False
DeadMachineInstructionElim,-dead-mi-elimination,Remove dead machine instructions,lib/CodeGen/DeadMachineInstructionElim.cpp,,False,False
DeadStoreEliminationPass,-dse,Dead Store Elimination,lib/Transforms/Scalar/DeadStoreElimination.cpp,include/llvm/Transforms/Scalar/DeadStoreElimination.h,False,False
Delinearization,-delinearize,Delinearization,lib/Analysis/Delinearization.cpp,,True,True
DemandedBitsWrapperPass,-demanded-bits,Demanded bits analysis,lib/Analysis/DemandedBits.cpp,include/llvm/Analysis/DemandedBits.h,False,False
DemoteRegisterToMemoryPass,-reg2mem,Demote all values to stack slots,lib/Transforms/Scalar/Reg2Mem.cpp,,False,False
DependenceAnalysisWrapperPass,-da,Dependence Analysis,lib/Analysis/DependenceAnalysis.cpp,include/llvm/Analysis/DependenceAnalysis.h,True,True
DetectDeadLanes,-detect-dead-lanes,Detect Dead Lanes,lib/CodeGen/DetectDeadLanes.cpp,,False,False
DivRemPairsPass,-div-rem-pairs,Hoist/decompose integer division and remainder,lib/Transforms/Scalar/DivRemPairs.cpp,include/llvm/Transforms/Scalar/DivRemPairs.h,False,False
DomOnlyPrinter,-dot-dom-only,"Print dominance tree of function to 'dot' file "" ""(with no function bodies)",lib/Analysis/DomPrinter.cpp,include/llvm/Analysis/DomPrinter.h,False,False
DomOnlyViewer,-view-dom-only,View dominance tree of function (with no function bodies),lib/Analysis/DomPrinter.cpp,include/llvm/Analysis/DomPrinter.h,False,False
DomPrinter,-dot-dom,Print dominance tree of function to 'dot' file,lib/Analysis/DomPrinter.cpp,include/llvm/Analysis/DomPrinter.h,False,False
DomViewer,-view-dom,View dominance tree of function,lib/Analysis/DomPrinter.cpp,include/llvm/Analysis/DomPrinter.h,False,False
DominanceFrontierWrapperPass,-domfrontier,Dominance Frontier Construction,lib/Analysis/DominanceFrontier.cpp,include/llvm/Analysis/DominanceFrontier.h,True,True
DominatorTreeWrapperPass,-domtree,Dominator Tree Construction,lib/IR/Dominators.cpp,include/llvm/IR/Dominators.h,True,True
DummyCGSCCPass,-DummyCGSCCPass,DummyCGSCCPass,lib/Analysis/CallGraphSCCPass.cpp,include/llvm/Analysis/CallGraphSCCPass.h,False,False
DwarfEHPrepare,-dwarfehprepare,Prepare DWARF exceptions,lib/CodeGen/DwarfEHPrepare.cpp,,False,False
EarlyCSEMemSSAPass,-early-cse-memssa,Early CSE w/ MemorySSA,lib/Transforms/Scalar/EarlyCSE.cpp,include/llvm/Transforms/Scalar/EarlyCSE.h,False,False
EarlyCSEPass,-early-cse,Early CSE,lib/Transforms/Scalar/EarlyCSE.cpp,include/llvm/Transforms/Scalar/EarlyCSE.h,False,False
EarlyIfConverter,-early-if-predicator,Early If Converter,lib/CodeGen/EarlyIfConversion.cpp,,False,False
EarlyIfPredicator,-early-if-predicator,Early If Predicator,lib/CodeGen/EarlyIfConversion.cpp,,False,False
EarlyMachineLICM,-early-machinelicm,Early Machine Loop Invariant Code Motion,lib/CodeGen/MachineLICM.cpp,,False,False
EarlyTailDuplicate,-early-tailduplication,Early Tail Duplication,lib/CodeGen/TailDuplication.cpp,,False,False
EdgeBundles,-edge-bundles,Bundle Machine CFG Edges,lib/CodeGen/EdgeBundles.cpp,include/llvm/CodeGen/EdgeBundles.h,True,True
EliminateAvailableExternallyPass,-elim-avail-extern,Eliminate Available Externally Globals,lib/Transforms/IPO/ElimAvailExtern.cpp,include/llvm/Transforms/IPO/ElimAvailExtern.h,False,False
EntryExitInstrumenterPass,-ee-instrument,Instrument function entry/exit with calls to e.g. mcount()(pre inlining),lib/Transforms/Utils/EntryExitInstrumenter.cpp,include/llvm/Transforms/Utils/EntryExitInstrumenter.h,False,False
EvexToVexInstPass,-x86-evex-to-vex-compress,Compressing EVEX instrs to VEX encoding when possible,lib/Target/X86/X86EvexToVex.cpp,,False,False
ExpandMemCmpPass,-expandmemcmp,Expand memcmp()to load/stores,lib/CodeGen/ExpandMemCmp.cpp,,False,False
ExpandPostRA,-postrapseudos,Post-RA pseudo instruction expansion pass,lib/CodeGen/ExpandPostRAPseudos.cpp,,False,False
ExpandReductions,-expand-reductions,Expand reduction intrinsics,lib/CodeGen/ExpandReductions.cpp,include/llvm/CodeGen/ExpandReductions.h,False,False
ExternalAAWrapperPass,-external-aa,External Alias Analysis,lib/Analysis/AliasAnalysis.cpp,include/llvm/Analysis/AliasAnalysis.h,False,True
FEntryInserter,-fentry-insert,Insert fentry calls,lib/CodeGen/FEntryInserter.cpp,,False,False
FPS,-x86-codegen,X86 FP Stackifier,lib/Target/X86/X86FloatingPoint.cpp,,False,False
FalkorHWPFFix,-falkor-hwpf-fix-late,Falkor HW Prefetch Fix Late Phase,lib/Target/AArch64/AArch64FalkorHWPFFix.cpp,,False,False
FalkorMarkStridedAccessesLegacy,-falkor-hwpf-fix,Falkor HW Prefetch Fix,lib/Target/AArch64/AArch64FalkorHWPFFix.cpp,,False,False
FinalizeISel,-finalize-isel,Finalize ISel and expand pseudo-instructions,lib/CodeGen/FinalizeISel.cpp,,False,False
FinalizeMachineBundles,-finalize-mi-bundles,Finalize machine instruction bundles,lib/CodeGen/MachineInstrBundle.cpp,include/llvm/CodeGen/MachineInstrBundle.h,False,False
FixFunctionBitcasts,-wasm-fix-function-bitcasts,Fix mismatching bitcasts for WebAssembly,lib/Target/WebAssembly/WebAssemblyFixFunctionBitcasts.cpp,,False,False
FixupBWInstPass,-x86-fixup-bw-insts,X86 Byte/Word Instruction Fixup,lib/Target/X86/X86FixupBWInsts.cpp,,False,False
FixupLEAPass,-x86-fixup-LEAs,X86 LEA Fixup,lib/Target/X86/X86FixupLEAs.cpp,,False,False
FlattenCFGPass,-flattencfg,Flatten the CFG,lib/Transforms/Scalar/FlattenCFGPass.cpp,,False,False
Float2IntPass,-float2int,Float to int,lib/Transforms/Scalar/Float2Int.cpp,include/llvm/Transforms/Scalar/Float2Int.h,False,False
ForceFunctionAttrsLegacyPass,-forceattrs,Force set function attributes,lib/Transforms/IPO/ForceFunctionAttrs.cpp,include/llvm/Transforms/IPO/ForceFunctionAttrs.h,False,False
FuncletLayout,-funclet-layout,Contiguously Lay Out Funclets,lib/CodeGen/FuncletLayout.cpp,,False,False
FunctionImportPass,-function-import,Summary Based Function Import,lib/Transforms/IPO/FunctionImport.cpp,include/llvm/Transforms/IPO/FunctionImport.h,False,False
FunctionInliningPass,-inline,Function Integration/Inlining,lib/Transforms/IPO/InlineSimple.cpp,,False,False
GCMachineCodeAnalysis,-gc-analysis,Analyze Machine Code For Garbage Collection,lib/CodeGen/GCRootLowering.cpp,,False,False
GCModuleInfo,-collector-metadata,Create Garbage Collector Module Metadata,lib/CodeGen/GCMetadata.cpp,include/llvm/CodeGen/GCMetadata.h,False,False
GCNDPPCombine,-gcn-dpp-combine,GCN DPP Combine,lib/Target/AMDGPU/GCNDPPCombine.cpp,,False,False
GCNNSAReassign,-amdgpu-nsa-reassign,GCN NSA Reassign,lib/Target/AMDGPU/GCNNSAReassign.cpp,,False,False
GCNRegBankReassign,-amdgpu-regbanks-reassign,GCN RegBank Reassign,lib/Target/AMDGPU/GCNRegBankReassign.cpp,,False,False
GCOVProfilerPass,-insert-gcov-profiling,Insert instrumentation for GCOV profiling,lib/Transforms/Instrumentation/GCOVProfiling.cpp,,False,False
GISelCSEAnalysisWrapperPass,-cseinfo,Analysis containing CSE Info,lib/CodeGen/GlobalISel/CSEInfo.cpp,include/llvm/CodeGen/GlobalISel/CSEInfo.h,False,True
GISelKnownBitsAnalysis,-gisel-known-bits,Analysis for ComputingKnownBits,lib/CodeGen/GlobalISel/GISelKnownBits.cpp,include/llvm/CodeGen/GlobalISel/GISelKnownBits.h,False,True
GVNHoistPass,-gvn-hoist,Early GVN Hoisting of Expressions,lib/Transforms/Scalar/GVNHoist.cpp,,False,False
GVNPass,-gvn,Global Value Numbering,lib/Transforms/Scalar/GVN.cpp,include/llvm/Transforms/Scalar/GVN.h,False,False
GVNSinkPass,-gvn-sink,Early GVN sinking of Expressions,lib/Transforms/Scalar/GVNSink.cpp,,False,False
